ID,gain,cv,rmse
WR22387C1_1,1.0388932583583848,0.8278145002470543,5.847533630791519
SD15_23081LC1_1,0.8684190835261124,0.6946136762408185,6.154294639169079
SF2_22005C1_3,0.9769316546345943,3.379587910256072,8.460621927071776
SM21749_PC1,0.8499600000787467,0.8184301497090734,6.742936862614133
SF21692_CON1,0.7201851003991956,1.0000523088141269,9.278554542042622
SC21753_CON1,0.8742818716259831,0.7805150501043304,7.353030394414773
ZM11_22188LC1_3_V,0.7980405277036005,1.3513319557703591,7.816196783257395
SG2_222203_LC1_1,0.9437768928218089,0.8189602043913086,6.4872501525919235
SD21797_CON1,0.8637228325764199,0.6544200162001951,5.0290485308517505
VS21750_CON1,1.1948016195943958,1.2301618342991878,23.43839373235492
TC21244_CON1,1.0892725532010985,1.157688840437605,20.972595562707266
SD9_22015LC1_1,1.1087484620452008,1.2538711608575617,9.109065527051998
SF23084C1_1,0.9293896535523829,1.1688002621066687,24.498289904448132
WB22387C1_2,0.8475739643884587,0.8734152574077929,6.673703879689171
SB21825_PC1,0.882349923937405,0.8817641245730987,6.3825282664142815
VD22028C1_1,1.065499495613761,1.480446411343917,8.952777019208098
XH21729_CON1,1.4522419565457738,1.8865138131627501,19.24778237662222
ZX21827_PC1,0.9102760361830808,0.9599093583979607,9.534705998858557
TC23297LC1_1,1.4043742016670335,1.4534657824362047,20.77421525954615
TC23297LC1_1,1.00671957101512,1.206279517562958,17.061142782184433
SS23016LC1_1,0.9667520312382862,0.9091888445927832,6.7052349449148885
YN11_22170LC1_1,0.8857093764292789,0.8075282815752459,4.794651419462186
SB21825_CON1,1.0535221921117568,1.1567641835486786,11.942222397246894
SM21765_CON1,1.174821159327677,1.5633766605599648,10.515038518480601
SB21740_CON1,1.0480592431472593,2.234202794200942,6.8775676699371155
XH21729_PC1,0.9229696211307163,0.7885945401780227,6.066576700859939
SF22005C1_1,0.8059070824068105,1.8938114585210952,13.428707242885993
SF2_22005C1_2,1.0645191902733955,1.117036840512108,10.412238541398743
TD21710_CON1,1.1153327423671227,1.3613318343085012,10.962654564451338
XP12_22082LC1_1,1.1588078185491149,2.171571610833695,19.753716397147517
