num_saccades,sacc_duration,sacc_velocity_az,sacc_velocity_el,ID,direction,saccade_amp_az,saccade_amp_el
28,150.78571428571203,,216.60206042358607,WR22387C1_1,vertical,,1.2169578680944753
26,152.92307692307799,239.87875671128575,,SD15_23081LC1_1,horizontal,20.209391001857195,
27,159.37407407407514,,227.74844069631837,SD15_23081LC1_1,vertical,,1.0515154267860294
15,168.0666666666686,272.79623552530404,,SF2_22005C1_3,horizontal,23.30931968476375,
20,177.4300000000011,,260.2257529405876,SF2_22005C1_3,vertical,,0.5527985591527587
22,163.59545454545224,241.25099514149952,,SM21749_PC1,horizontal,20.303373142468885,
17,189.47058823530102,,244.78465887070027,SM21749_PC1,vertical,,0.6957993365488578
21,141.4714285714286,,192.44664227343995,SF21692_CON1,vertical,,1.452798772679912
25,160.76399999999808,214.31497121244217,,SF21692_CON1,horizontal,18.35822012091995,
19,188.8052631578947,,257.5442174647507,SC21753_CON1,vertical,,0.6790894187919101
18,180.73611111111077,302.51799974367054,,SC21753_CON1,horizontal,27.37884771491238,
22,185.22818181818158,,217.20337578913885,ZM11_22188LC1_3_V,vertical,,0.7481640228962019
20,181.3700000000011,246.66730320517263,,ZM11_22188LC1_3_V,horizontal,22.354603609754314,
19,215.30526315789334,200.44549469252516,,SD21797_CON1,horizontal,19.732112137366194,
19,198.3894736842085,,190.9809829072008,SD21797_CON1,vertical,,1.030130744101788
25,135.51200000000108,,167.47320787019638,VS21750_CON1,vertical,,2.6338816577646162
23,150.2304347826078,202.57470396813287,,VS21750_CON1,horizontal,16.362572257450765,
16,173.60624999999973,245.7036957018711,,SD9_22015LC1_1,horizontal,21.428702712678174,
22,154.49545454545705,,215.16136533294295,SD9_22015LC1_1,vertical,,1.2031667717159993
21,181.75714285714574,,218.53276833855406,ZM11_22188LC1_1,vertical,,0.5665604736814839
19,184.0736842105263,273.4267349348094,,ZM11_22188LC1_1,horizontal,27.401858005632317,
25,143.06400000000053,205.50987403055547,,SF23084C1_1,horizontal,16.54126883050356,
20,124.93000000000193,,156.93548886186213,SF23084C1_1,vertical,,0.751119641804624
13,169.12307692307905,237.1651459602385,,WB22387C1_2,horizontal,20.04348917972459,
20,170.11500000000268,,255.2491629042751,WB22387C1_2,vertical,,0.5864168610060477
28,148.5678571428559,,229.37293596616246,SB21825_PC1,vertical,,0.6333491312524864
26,159.9615384615398,237.60463143678302,,SB21825_PC1,horizontal,19.742933225247555,
20,172.18650000000292,,225.11466977383165,VD22028C1_1,vertical,,0.6864040669213118
23,171.16999999999925,222.47392655776488,,VD22028C1_1,horizontal,20.45756166333496,
18,116.603888888886,,147.69565512582113,XH21729_CON1,vertical,,1.1998954417447472
22,139.37727272727136,237.99325154658743,,ZX21827_PC1,horizontal,19.374359572829704,
22,177.66818181817712,,269.30472756709344,TC23297LC1_1,vertical,,0.6347668771609101
17,175.4294117647056,287.07865203607025,,TC23297LC1_1,horizontal,25.65303044112406,
22,166.31818181817886,254.55550740144415,,SS23016LC1_1,horizontal,22.641270716453576,
28,133.69999999999646,,225.12635356975528,SS23016LC1_1,vertical,,0.9388427847430245
28,181.70607142857116,,204.70755557625404,ZM11_22188LC1_2,vertical,,1.6084577420034827
21,174.566666666667,225.91371534231453,,ZM11_22188LC1_2,horizontal,20.98468750329062,
29,155.0137931034474,,227.64055908187237,YN11_22170LC1_1,vertical,,0.8631070747407791
25,169.8072000000019,,257.98404679986623,SB21825_CON1,vertical,,0.7745550855559382
24,156.5095833333346,264.5425448599732,,SB21825_CON1,horizontal,21.876567488548773,
23,125.18695652174037,,216.9202774889258,SM21765_CON1,vertical,,0.6483159456938042
16,166.5499999999982,262.83783388244035,,SM21765_CON1,horizontal,21.97363564424935,
28,146.70714285714277,,170.1177286843578,AR23044LC1_1_V,vertical,,0.6908580274325639
28,153.08178571428348,243.16779934649549,,XH21729_PC1,horizontal,20.20797495262465,
29,137.6931034482758,,154.11325323250693,XH21729_PC1,vertical,,0.7767007944651492
18,178.02777777776964,,252.14400044071675,SF22005C1_1,vertical,,0.5356393770560538
19,171.83684210526224,,240.89438086194494,SF2_22005C1_2,vertical,,0.6740181247269119
20,163.21899999999943,267.35659580255,,SF2_22005C1_2,horizontal,22.758225962773952,
21,151.80476190476253,,180.4466972121016,TD21710_CON1,vertical,,0.4381487784704126
22,164.54545454545604,209.5987820483061,,TD21710_CON1,horizontal,17.468372532013124,
22,167.10045454545505,211.97887788740184,,XP12_22082LC1_1,horizontal,18.578485959231724,
19,186.4794736842097,,222.5178067677143,XP12_22082LC1_1,vertical,,1.339779836468104
23,174.40869565217554,,240.46136289103794,AS1_23163LC1_3,vertical,,1.3686938876682568
23,161.47826086956513,,239.36941576775743,AS1_23163LC1_1,vertical,,1.8726625080754684
20,163.81499999999886,250.01617357753912,,AS1_23163LC1_1,horizontal,21.006096991473036,
25,168.72079999999926,274.0060941141803,,AS1_23163LC1_3,horizontal,22.884837660285186,
23,154.46043478260788,204.66320551829097,,JR6_23134LC1_5,horizontal,17.205535649895523,
22,150.91363636363488,,186.27908131976844,JR6_23134LC1_5,vertical,,0.7154321708850949
25,133.7000000000006,,166.46800497603527,JR6_23134LC1_4,vertical,,1.07681898302184
27,148.94074074074072,,220.64679577605037,HF5_23169LC1_3,vertical,,0.6841423354143304
27,145.1603703703694,,179.7485787015932,NW3_23182LC1_1,vertical,,0.930690233585157
30,156.41133333333437,215.07523220335813,,NW3_23182LC1_1,horizontal,17.95155933875082,
30,115.8566666666663,207.37868753613196,,GD2_23170LC1_1,horizontal,15.181423155666776,
