num_saccades,sacc_duration,sacc_velocity_az,sacc_velocity_el,ID,direction,saccade_amp_az,saccade_amp_el
21,161.73333333333872,,239.61965838483792,SB23537,vertical,,1.4696886275213277
27,151.5629629629629,284.8820256903915,,ZM3,horizontal,25.11790887991711,
24,148.31625,,252.90456495777062,ZM3,vertical,,1.9231845167571988
21,181.52380952376137,,271.24644538804995,ZW2,vertical,,1.3365942913452156
22,191.5909090908847,293.9379853130335,,ZW2,horizontal,28.22167366477402,
22,167.16727272727252,,243.601563019796,WK1,vertical,,0.6208142270732512
21,173.84047619047612,274.0963243597679,,WK1,horizontal,23.944087368514165,
21,175.87238095238095,,253.1496665622614,SM21358,vertical,,0.7385258008128879
24,172.65500000000245,,211.2218096818406,TC21782,vertical,,1.1273217988715911
24,161.71666666666636,269.6431186764069,,TC21782,horizontal,23.28000882377113,
20,210.11499999999901,228.97628658685204,,VK22350,horizontal,24.12563580423609,
25,156.10000000000014,,219.6922844689273,VK22350,vertical,,2.6218019980096794
18,130.8222222222197,,218.15210146608499,SB21440,vertical,,0.6325848149317358
27,137.96666666666974,196.60655807659427,,SB21440,horizontal,14.674457074392103,
21,144.52857142857079,,239.4393636473842,SM16_22039,vertical,,0.9514596035367185
16,141.74374999999984,,164.47843749218626,SM16_22039,vertical,,11.017876890469362
25,174.77999999999952,,252.63498168094586,VH22444,vertical,,0.6398373646768263
19,176.90421052631527,281.1173394007552,,VH22444,horizontal,24.514987095724713,
22,169.88181818181985,,239.23827612672213,AG23529,vertical,,0.7741609821357184
21,156.76571428571356,239.72229479084203,,AG23529,horizontal,19.63352786957848,
16,151.81875000000213,198.42557842435014,,YK22426,horizontal,15.662214654844473,
22,162.00090909090903,247.10633527945592,,SI22365,horizontal,21.157999122343206,
25,154.90800000000092,,226.76267817498714,SI22365,vertical,,0.9409844593638045
21,171.13714285714346,295.8159516097645,,WK3,horizontal,25.496788848031173,
23,183.4639130434786,,287.51853629616113,WK3,vertical,,1.0415930111006007
28,133.31071428571104,,223.74873427454486,TC23265,vertical,,0.7366801527962686
21,187.95714285714183,298.9895107755973,,TC23265,horizontal,28.142843138478135,
22,180.67727272727618,,244.98112032693348,ZL22065,vertical,,0.6717804049458316
23,180.6734782608705,273.1018709983853,,TC21447,horizontal,24.80756766134298,
28,150.94928571428665,,228.30308709406415,TC21447,vertical,,1.0571320770450858
21,175.86190476190617,,232.48822638135147,ZW22096,vertical,,1.3286555802981825
21,173.63333333333182,268.2377759833077,,ZW22096,horizontal,23.279541737149266,
21,178.8761904761884,,253.164328894144,TC22056,vertical,,2.5086619779585893
22,164.01772727272729,,265.2069274758375,ZK22195,vertical,,1.4332477381440223
14,165.02785714285798,267.70887193383084,,ZK22195,horizontal,23.121642487060456,
13,137.88307692307563,,203.82317253259487,LR23513,vertical,,1.318035205307269
21,175.81476190476155,270.66563312715834,,ZM3,horizontal,23.808679884896407,
21,174.04428571428468,,238.96631993298567,ZM3,vertical,,0.5364644400650649
20,177.68449999999802,281.96440930457175,,TC22038,horizontal,25.184911926179307,
20,189.42200000000184,,255.75753907178847,TC22038,vertical,,1.6141775160234832
19,159.37894736841645,255.70170819256822,,ZB122,horizontal,20.845372857344056,
24,142.87499999999773,,196.25351952154833,ZB122,vertical,,1.5733398261822904
22,180.9072727272717,,245.57442000023624,SK3,vertical,,1.534567282140056
20,177.9414999999993,,261.6546823495399,MC23514,vertical,,0.5632884868972348
